"Month";"M1"
"1959-01";143.1
"1959-02";140.3
"1959-03";139.4
"1959-04";140.7
"1959-05";139.6
"1959-06";140.4
"1959-07";141.2
"1959-08";140.9
"1959-09";141.3
"1959-10";141.7
"1959-11";142.8
"1959-12";144.7
"1960-01";144.4
"1960-02";140.9
"1960-03";139.5
"1960-04";140.8
"1960-05";138.7
"1960-06";139
"1960-07";140
"1960-08";140.4
"1960-09";141.6
"1960-10";142.3
"1960-11";143.4
"1960-12";145.7
"1961-01";145.7
"1961-02";142.8
"1961-03";141.8
"1961-04";143.5
"1961-05";141.8
"1961-06";142.4
"1961-07";142.8
"1961-08";142.7
"1961-09";144.3
"1961-10";145.7
"1961-11";147.6
"1961-12";150.5
"1962-01";150.2
"1962-02";146.9
"1962-03";146
"1962-04";148
"1962-05";145.8
"1962-06";146.2
"1962-07";146.4
"1962-08";145.8
"1962-09";146.9
"1962-10";148.4
"1962-11";150.2
"1962-12";153.3
"1963-01";153.6
"1963-02";150.1
"1963-03";149.3
"1963-04";151.5
"1963-05";149.3
"1963-06";151.4
"1963-07";151.3
"1963-08";150.9
"1963-09";152.5
"1963-10";154.4
"1963-11";156.7
"1963-12";159
"1964-01";159.4
"1964-02";155.4
"1964-03";154.6
"1964-04";156.8
"1964-05";154.2
"1964-06";155.5
"1964-07";157.1
"1964-08";157
"1964-09";159.4
"1964-10";161.3
"1964-11";163.1
"1964-12";166.4
"1965-01";166.9
"1965-02";161.9
"1965-03";161.5
"1965-04";164.2
"1965-05";160.3
"1965-06";162.2
"1965-07";163.5
"1965-08";162.8
"1965-09";165.6
"1965-10";168.2
"1965-11";169.9
"1965-12";174.4
"1966-01";175.6
"1966-02";170.3
"1966-03";170.4
"1966-04";174.1
"1966-05";169.6
"1966-06";171.7
"1966-07";171
"1966-08";170
"1966-09";172.7
"1966-10";173.4
"1966-11";174.6
"1966-12";178.6
"1967-01";178.4
"1967-02";173.4
"1967-03";174.6
"1967-04";176.6
"1967-05";174.1
"1967-06";177.4
"1967-07";179.1
"1967-08";179
"1967-09";181.7
"1967-10";183.9
"1967-11";185.7
"1967-12";190.3
"1968-01";189
"1968-02";184.9
"1968-03";185.4
"1968-04";189.3
"1968-05";186.5
"1968-06";190.2
"1968-07";191.9
"1968-08";191.4
"1968-09";193.9
"1968-10";196.3
"1968-11";199.6
"1968-12";204.8
"1969-01";205.9
"1969-02";199.3
"1969-03";199.8
"1969-04";203.6
"1969-05";199.4
"1969-06";202.3
"1969-07";203.3
"1969-08";201.5
"1969-09";203.2
"1969-10";205
"1969-11";207
"1969-12";211.4
"1970-01";212.9
"1970-02";204
"1970-03";205.5
"1970-04";210.1
"1970-05";206.2
"1970-06";208.9
"1970-07";210.1
"1970-08";210
"1970-09";212.8
"1970-10";214.4
"1970-11";216.7
"1970-12";222.2
"1971-01";222.6
"1971-02";216.6
"1971-03";218.6
"1971-04";223.7
"1971-05";221.1
"1971-06";225.2
"1971-07";227.5
"1971-08";225.9
"1971-09";227.7
"1971-10";229.1
"1971-11";231.2
"1971-12";236.9
"1972-01";237.5
"1972-02";231.4
"1972-03";234.2
"1972-04";239.5
"1972-05";234.7
"1972-06";238.8
"1972-07";241.8
"1972-08";241.3
"1972-09";244.5
"1972-10";247
"1972-11";250.5
"1972-12";258.9
"1973-01";259.4
"1973-02";251.2
"1973-03";251.6
"1973-04";257
"1973-05";253.6
"1973-06";259.3
"1973-07";261.1
"1973-08";258.6
"1973-09";259.5
"1973-10";261.4
"1973-11";265.6
"1973-12";273.3
"1974-01";271.8
"1974-02";264.1
"1974-03";266.5
"1974-04";271.6
"1974-05";266.3
"1974-06";271.5
"1974-07";273.5
"1974-08";271
"1974-09";272.6
"1974-10";274.8
"1974-11";278.8
"1974-12";285.2
"1975-01";281.8
"1975-02";273.3
"1975-03";276.4
"1975-04";281.4
"1975-05";278.1
"1975-06";286
"1975-07";288
"1975-08";286.3
"1975-09";287.8
"1975-10";288.5
"1975-11";293.5
"1975-12";299
"1976-01";296.8
"1976-02";289
"1976-03";291.4
"1976-04";299.9
"1976-05";295.1
"1976-06";299.4
"1976-07";302.3
"1976-08";301
"1976-09";302.5
"1976-10";307
"1976-11";309.7
"1976-12";318.6
"1977-01";317.7
"1977-02";309
"1977-03";312.2
"1977-04";322.7
"1977-05";315.6
"1977-06";321.7
"1977-07";326.3
"1977-08";324.3
"1977-09";327.7
"1977-10";332
"1977-11";335.4
"1977-12";344.1
"1978-01";343.4
"1978-02";332
"1978-03";334.9
"1978-04";347.5
"1978-05";342.4
"1978-06";349.4
"1978-07";353.9
"1978-08";351.7
"1978-09";357
"1978-10";359.4
"1978-11";362.9
"1978-12";372.5
"1979-01";367.8
"1979-02";356.4
"1979-03";360.8
"1979-04";376.2
"1979-05";367.1
"1979-06";376.7
"1979-07";383.3
"1979-08";381.9
"1979-09";385.6
"1979-10";387.7
"1979-11";389.8
"1979-12";398.6
"1980-01";390.7
"1980-02";380.9
"1980-03";382.4
"1980-04";387.1
"1980-05";377.8
"1980-06";387.6
"1980-07";394.8
"1980-08";398.5
"1980-09";404.9
"1980-10";411
"1980-11";416.1
"1980-12";419.8
"1981-01";416.5
"1981-02";405.7
"1981-03";412.5
"1981-04";431.3
"1981-05";418.6
"1981-06";423
"1981-07";427.9
"1981-08";426.1
"1981-09";427.3
"1981-10";429.8
"1981-11";435.2
"1981-12";447.2
"1982-01";448.7
"1982-02";432.6
"1982-03";435.8
"1982-04";451.3
"1982-05";441.1
"1982-06";446.5
"1982-07";449.6
"1982-08";450
"1982-09";456.4
"1982-10";466
"1982-11";474.5
"1982-12";486
"1983-01";483
"1983-02";474.2
"1983-03";482.9
"1983-04";498.7
"1983-05";494.1
"1983-06";503.7
"1983-07";510.7
"1983-08";508.5
"1983-09";511.5
"1983-10";517.4
"1983-11";522.1
"1983-12";533.4
"1984-01";530.4
"1984-02";517.6
"1984-03";524.2
"1984-04";539.2
"1984-05";530.8
"1984-06";541.4
"1984-07";543.3
"1984-08";539
"1984-09";542.5
"1984-10";542.1
"1984-11";549.6
"1984-12";564.5
"1985-01";561.1
"1985-02";551.9
"1985-03";558.3
"1985-04";575
"1985-05";569.4
"1985-06";585.2
"1985-07";592
"1985-08";594.8
"1985-09";602.2
"1985-10";605.5
"1985-11";615.1
"1985-12";633.5
"1986-01";626.8
"1986-02";613.1
"1986-03";624.6
"1986-04";647.2
"1986-05";645.7
"1986-06";663.5
"1986-07";674
"1986-08";679.1
"1986-09";685.2
"1986-10";692.8
"1986-11";709.5
"1986-12";740.6
"1987-01";737.5
"1987-02";717.1
