"Month";"Sales"
"01-01";742
"01-02";741
"01-03";896
"01-04";951
"01-05";1030
"01-06";697
"01-07";700
"01-08";793
"01-09";861
"01-10";1032
"01-11";776
"01-12";774
"02-01";885
"02-02";938
"02-03";1126
"02-04";898
"02-05";932
"02-06";1055
"02-07";1109
"02-08";1285
"02-09";1030
"02-10";1099
"02-11";1204
"02-12";1274
"03-01";1468
"03-02";1107
"03-03";1223
"03-04";1326
"03-05";1422
"03-06";1637
"03-07";1165
"03-08";1290
"03-09";1303
"03-10";1486
"03-11";1611
"03-12";1216
"04-01";1349
"04-02";1436
"04-03";1555
"04-04";1608
"04-05";1208
"04-06";1341
"04-07";1473
"04-08";1604
"04-09";1528
"04-10";1131
"04-11";1296
"04-12";1453
"05-01";1600
"05-02";1420
"05-03";971
"05-04";1066
"05-05";1170
"05-06";1403
"05-07";1119
"05-08";783
"05-09";901
"05-10";1023
"05-11";1209
"05-12";1013
