"Month";"Chemicals";"Coal";"Petrol";"Vehicles"
"1971-01";3.896;49.78;2.154;4.367
"1971-02";4.346;47.029;2.25;5.147
"1971-03";4.318;56.92;2.165;5.418
"1971-04";4.536;54.336;2.223;4.897
"1971-05";4.454;50.442;2.19;5.002
"1971-06";4.554;49.298;2.288;5.329
"1971-07";4.058;39.537;2.25;3.537
"1971-08";4.342;56.185;2.251;3.94
"1971-09";4.693;54.449;2.281;5.226
"1971-10";4.389;11.857;2.32;5.429
"1971-11";4.289;26.327;2.285;5.4
"1971-12";3.997;56.032;2.279;4.446
"1972-01";4.353;49.68;2.319;5.072
"1972-02";4.609;49.112;2.396;5.707
"1972-03";4.794;54.438;2.397;5.76
"1972-04";4.975;49.814;2.462;5.807
"1972-05";4.859;52.879;2.368;5.865
"1972-06";5.027;50.083;2.505;5.909
"1972-07";4.382;40.964;2.49;3.681
"1972-08";4.798;52.169;2.553;3.895
"1972-09";5.076;49.374;2.611;6.247
"1972-10";4.979;51.671;2.528;6.629
"1972-11";4.845;50.297;2.618;6.67
"1972-12";4.74;44.904;2.685;5.52
"1973-01";4.885;49.379;2.649;6.71
"1973-02";5.579;45.893;2.723;7.134
"1973-03";5.741;50.547;2.675;7.097
"1973-04";5.91;46.999;2.723;6.741
"1973-05";5.784;51.42;2.781;7.006
"1973-06";5.962;46.613;2.953;7.169
"1973-07";5.152;43.801;2.919;5.419
"1973-08";5.536;55.874;3.017;4.667
"1973-09";5.769;48.338;3.121;6.227
"1973-10";5.643;54.38;3.135;7.314
"1973-11";5.61;49.825;3.425;6.928
"1973-12";5.463;48.668;3.694;4.866
"1974-01";5.685;53.53;3.742;5.611
"1974-02";6.452;49.851;4.173;5.762
"1974-03";6.729;51.027;4.374;5.638
"1974-04";7.094;54.181;4.499;5.891
"1974-05";6.987;57.448;4.725;6.229
"1974-06";7.158;47.884;4.983;6.485
"1974-07";6.58;49.206;5.068;5.169
"1974-08";7.026;51.604;5.104;5.236
"1974-09";7.556;52.472;5.056;6.921
"1974-10";7.201;60.293;5.042;7.703
"1974-11";6.791;33.524;5.116;6.985
"1974-12";6.118;39.98;4.97;4.49
"1975-01";6.702;55.167;5.108;4.816
"1975-02";7.376;51.808;5.266;5.254
"1975-03";7.609;52.603;5.166;5.589
"1975-04";7.829;53.776;5.294;6.004
"1975-05";7.558;55.921;5.313;6.037
"1975-06";7.62;56.786;5.749;6.439
"1975-07";6.923;45.96;5.825;4.82
"1975-08";7.607;51.76;6.317;5.18
"1975-09";8.003;56.066;6.213;6.589
"1975-10";7.838;60.396;6.281;6.886
"1975-11";7.375;53.976;6.426;6.531
"1975-12";7.282;54.819;6.526;5.888
